"Color","Count","Locations"
"#6B7280","60",".\lib\theme.tsx:84, .\lib\theme.tsx:155, .\components\DeleteAccountModal.tsx:69, .\components\web\WebFooter.tsx:97, .\components\web\WebFooter.tsx:108, .\components\community\CitySearchModal.tsx:104, .\components\community\CitySearchModal.tsx:175, .\components\community\CitySearchModal.tsx:208, .\components\community\CitySearchModal.tsx:213, .\components\community\CitySearchModal.tsx:230, .\components\community\CitySearchModal.tsx:265, .\components\community\CitySearchModal.tsx:305, .\components\community\CitySearchModal.tsx:328, .\components\community\CitySearchModal.tsx:350, .\components\community\CitySearchModal.tsx:356, .\components\community\CommunityFeed.tsx:353, .\components\community\CommunityFeed.tsx:381, .\components\community\CommunityFeed.tsx:505, .\components\community\CommunityFeed.tsx:522, .\components\community\CommunityFeed.tsx:628, .\components\community\CommunityFeed.tsx:649, .\components\community\CommunityFeed.tsx:667, .\components\community\CommunityFeed.web.tsx:356, .\components\community\CommunityFeed.web.tsx:384, .\components\community\CommunityFeed.web.tsx:508, .\components\community\CommunityFeed.web.tsx:525, .\components\community\CommunityFeed.web.tsx:631, .\components\community\CommunityFeed.web.tsx:652, .\components\community\CommunityFeed.web.tsx:670, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:199, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:254, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:271, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:297, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:350, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:368, .\components\community\UpgradePromptModal.tsx:243, .\components\community\TemplateSelector.tsx:28, .\components\community\TemplateSelector.tsx:114, .\components\community\QuickPostBar.web.tsx:647, .\components\community\QuickPostBar.web.tsx:661, .\components\community\QuickPostBar.web.tsx:692, .\components\community\QuickPostBar.web.tsx:714, .\components\community\QuickPostBar.tsx:608, .\components\community\QuickPostBar.tsx:622, .\components\community\PostCard.tsx:595, .\components\community\PostCard.tsx:702, .\components\community\PostCard.tsx:712, .\components\community\PostCard.tsx:893, .\components\community\PostCard.tsx:928, .\components\community\PostCard.tsx:943, .\components\community\PostCard.tsx:959, .\components\community\PostCard.tsx:1048, .\components\community\PostCard.tsx:1088, .\components\community\CommunityFiltersModal.tsx:115, .\components\community\CommunityFiltersModal.tsx:290, .\app\(tabs)\profile.tsx:1245, .\app\(tabs)\leads.tsx:833, .\app\(tabs)\leads.tsx:861, .\app\(tabs)\leads.tsx:1285, .\app\(tabs)\leads.tsx:1306"
"#78350F","1",".\app\(tabs)\search.tsx:639"
"#7C3AED","5",".\app\(web)\features.tsx:186, .\app\(web)\features.tsx:378, .\app\(web)\features.tsx:401, .\app\(tabs)\pricing.tsx:852, .\app\_backup_pricing\pricing_stripe_backup.tsx:519"
"#8B5CF6","3",".\lib\theme.tsx:79, .\components\StatusBadge.tsx:12, .\app\_backup_pricing\pricing_revenuecat.tsx:156"
"#92400E","2",".\components\community\UpgradePromptModal.tsx:146, .\app\(tabs)\search.tsx:634"
"#93C5FD","2",".\app\(tabs)\search.tsx:709, .\app\(tabs)\search.tsx:777"
"#94A3B8","15",".\components\Button.tsx:125, .\components\Input.tsx:33, .\app\(web)\contact.tsx:385, .\app\(web)\pricing_web.tsx:511, .\components\leads\LeadDetailModal.tsx:410, .\components\leads\LeadDetailModal.tsx:560, .\app\(tabs)\profile.tsx:1036, .\app\(tabs)\pricing.tsx:1669, .\app\(tabs)\pricing.tsx:1692, .\app\(tabs)\leads.tsx:1205, .\app\(tabs)\leads.tsx:1369, .\app\(tabs)\index.tsx:138, .\app\(tabs)\index.tsx:319, .\app\_backup_pricing\pricing_stripe_backup.tsx:1214, .\app\_backup_pricing\pricing_stripe_backup.tsx:1237"
"#991B1B","4",".\components\DeleteAccountModal.tsx:295, .\app\(tabs)\search.tsx:665, .\app\(tabs)\search.tsx:794, .\app\(tabs)\profile.tsx:1198"
"#9CA3AF","16",".\lib\theme.tsx:93, .\lib\theme.tsx:146, .\components\web\WebFooter.tsx:126, .\components\community\CitySearchModal.tsx:361, .\components\community\CommunityFeed.tsx:642, .\components\community\CommunityFeed.web.tsx:645, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:318, .\components\community\PostCard.tsx:727, .\components\community\PostCard.tsx:730, .\components\community\PostCard.tsx:735, .\components\community\PostCard.tsx:1064, .\components\community\PostCard.tsx:1107, .\components\community\CommunityFiltersModal.tsx:121, .\components\community\CommunityFiltersModal.tsx:132, .\components\community\CommunityFiltersModal.tsx:280, .\app\(tabs)\leads.tsx:1299"
"#A78BFA","1",".\lib\theme.tsx:141"
"#A7F3D0","1",".\components\community\PostCard.tsx:1014"
"#BFDBFE","5",".\components\community\PostCard.tsx:1037, .\app\(tabs)\pricing.tsx:1534, .\app\(tabs)\pricing.tsx:1706, .\app\_backup_pricing\pricing_stripe_backup.tsx:1079, .\app\_backup_pricing\pricing_stripe_backup.tsx:1251"
"#CBD5E1","7",".\components\Input.tsx:54, .\app\(tabs)\profile.tsx:1150, .\app\(tabs)\pricing.tsx:1626, .\app\(tabs)\leads.tsx:960, .\app\(tabs)\leads.tsx:978, .\app\(tabs)\leads.tsx:997, .\app\_backup_pricing\pricing_stripe_backup.tsx:1171"
"#CBD5F5","2",".\app\(web)\contact.tsx:437, .\app\(web)\contact.tsx:523"
"#D1D5DB","15",".\lib\theme.tsx:92, .\components\DeleteAccountModal.tsx:311, .\components\community\CitySearchModal.tsx:134, .\components\community\CommunityFeed.tsx:210, .\components\community\CommunityFeed.tsx:218, .\components\community\CommunityFeed.tsx:226, .\components\community\CommunityFeed.tsx:633, .\components\community\CommunityFeed.web.tsx:213, .\components\community\CommunityFeed.web.tsx:221, .\components\community\CommunityFeed.web.tsx:229, .\components\community\CommunityFeed.web.tsx:636, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:95, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:103, .\components\community\PostCard.tsx:933, .\app\(tabs)\leads.tsx:1290"
"#D1FAE5","1",".\app\(tabs)\search.tsx:644"
"#D97706","6",".\components\community\CommunityFeed.tsx:331, .\components\community\CommunityFeed.tsx:334, .\components\community\CommunityFeed.web.tsx:334, .\components\community\CommunityFeed.web.tsx:337, .\app\(tabs)\leads.tsx:791, .\app\(tabs)\leads.tsx:794"
"#DBEAFE","7",".\components\community\PostCard.tsx:1034, .\components\leads\LeadDetailModal.tsx:501, .\components\leads\LeadDetailModal.tsx:651, .\app\(tabs)\search.tsx:704, .\app\(tabs)\search.tsx:772, .\app\(tabs)\index.tsx:265, .\app\(tabs)\index.tsx:293"
"#DC2626","20",".\components\DeleteAccountModal.tsx:130, .\components\DeleteAccountModal.tsx:233, .\components\DeleteAccountModal.tsx:272, .\components\DeleteAccountModal.tsx:291, .\components\DeleteAccountModal.tsx:335, .\components\community\CommunityFeed.tsx:685, .\components\community\CommunityFeed.tsx:690, .\components\community\CommunityFeed.web.tsx:688, .\components\community\CommunityFeed.web.tsx:693, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:386, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:391, .\components\community\CommunityFiltersModal.tsx:238, .\app\(tabs)\profile.tsx:1193, .\app\(tabs)\profile.tsx:1202, .\app\(tabs)\profile.tsx:1207, .\app\(tabs)\pricing.tsx:856, .\app\(tabs)\pricing.tsx:858, .\app\(tabs)\pricing.tsx:943, .\app\_backup_pricing\pricing_stripe_backup.tsx:521, .\app\_backup_pricing\pricing_stripe_backup.tsx:604"
"#E0E0E0","3",".\components\ChatSupportModal.tsx:363, .\components\ChatSupportModal.tsx:417, .\components\ChatSupportModal.tsx:533"
"#E0F2FE","2",".\app\(tabs)\pricing.tsx:1568, .\app\_backup_pricing\pricing_stripe_backup.tsx:1113"
"#E2E8F0","33",".\components\web\WebHeader.tsx:288, .\app\(web)\index.tsx:486, .\app\(web)\contact.tsx:467, .\app\(web)\about.tsx:376, .\app\(web)\about.tsx:431, .\app\(web)\about.tsx:465, .\app\(web)\about.tsx:542, .\app\(web)\pricing_web.tsx:440, .\app\(web)\pricing_web.tsx:597, .\app\(web)\pricing.tsx:394, .\app\(web)\pricing.tsx:494, .\app\(auth)\login.tsx:316, .\app\(auth)\login.tsx:334, .\components\leads\LeadDetailModal.tsx:593, .\components\leads\LeadDetailModal.tsx:661, .\app\(tabs)\_layout.tsx:17, .\app\(tabs)\search.tsx:732, .\app\(tabs)\search.tsx:758, .\app\(tabs)\profile.tsx:994, .\app\(tabs)\profile.tsx:1071, .\app\(tabs)\profile.tsx:1097, .\app\(tabs)\profile.tsx:1129, .\app\(tabs)\profile.tsx:1160, .\app\(tabs)\pricing.tsx:1488, .\app\(tabs)\pricing.tsx:1561, .\app\(tabs)\pricing.tsx:1605, .\app\(tabs)\leads.tsx:1182, .\app\(tabs)\leads.tsx:1324, .\app\(tabs)\leads.tsx:1406, .\app\(tabs)\index.tsx:220, .\app\_backup_pricing\pricing_stripe_backup.tsx:1033, .\app\_backup_pricing\pricing_stripe_backup.tsx:1106, .\app\_backup_pricing\pricing_stripe_backup.tsx:1150"
"#E4405F","1",".\components\leads\LeadDetailModal.tsx:95"
"#E5E7EB","28",".\lib\theme.tsx:85, .\components\DeleteAccountModal.tsx:209, .\components\DeleteAccountModal.tsx:303, .\components\web\WebHeader.tsx:195, .\components\web\WebHeader.tsx:385, .\components\web\WebHeader.tsx:404, .\components\web\WebFooter.tsx:72, .\components\web\WebFooter.tsx:121, .\components\community\CitySearchModal.tsx:252, .\components\community\CommunityFeed.tsx:606, .\components\community\CommunityFeed.tsx:617, .\components\community\CommunityFeed.web.tsx:609, .\components\community\CommunityFeed.web.tsx:620, .\components\community\UpgradePromptModal.tsx:168, .\components\community\TemplateSelector.tsx:75, .\components\community\TemplateSelector.tsx:97, .\components\community\QuickPostBar.web.tsx:640, .\components\community\QuickPostBar.tsx:601, .\components\community\PostCard.tsx:885, .\components\community\PostCard.tsx:1003, .\components\community\CommunityFiltersModal.tsx:200, .\components\community\CommunityFiltersModal.tsx:221, .\components\leads\LeadDetailModal.tsx:471, .\app\(tabs)\profile.tsx:1232, .\app\(tabs)\profile.tsx:1238, .\app\(tabs)\leads.tsx:1263, .\app\(tabs)\leads.tsx:1274, .\app\_backup_pricing\pricing_revenuecat.tsx:439"
"#EA4335","4",".\components\leads\LeadDetailModal.tsx:365, .\components\leads\LeadDetailModal.tsx:366, .\app\(tabs)\leads.tsx:719, .\app\(tabs)\leads.tsx:720"
"#EAB308","1",".\components\StatusBadge.tsx:11"
"#EBF5FF","1",".\components\community\CitySearchModal.tsx:331"
"#ECFDF5","4",".\components\community\UpgradePromptModal.tsx:214, .\components\community\PostCard.tsx:1011, .\app\(tabs)\pricing.tsx:1641, .\app\_backup_pricing\pricing_stripe_backup.tsx:1186"
"#EF4444","24",".\lib\theme.tsx:86, .\components\Input.tsx:62, .\components\Input.tsx:66, .\components\DeleteAccountModal.tsx:59, .\components\DeleteAccountModal.tsx:84, .\components\DeleteAccountModal.tsx:88, .\components\DeleteAccountModal.tsx:92, .\components\DeleteAccountModal.tsx:96, .\components\DeleteAccountModal.tsx:100, .\components\DeleteAccountModal.tsx:104, .\components\DeleteAccountModal.tsx:108, .\components\DeleteAccountModal.tsx:323, .\components\StatusBadge.tsx:14, .\components\community\PostCard.tsx:673, .\app\(tabs)\search.tsx:331, .\app\(tabs)\search.tsx:344, .\app\(tabs)\search.tsx:405, .\app\(tabs)\search.tsx:740, .\app\(tabs)\search.tsx:749, .\app\(tabs)\profile.tsx:1176, .\app\(tabs)\pricing.tsx:1063, .\app\(tabs)\pricing.tsx:1658, .\app\_backup_pricing\pricing_stripe_backup.tsx:723, .\app\_backup_pricing\pricing_stripe_backup.tsx:1203"
"#EFF6FF","11",".\components\DeleteAccountModal.tsx:258, .\components\web\WebHeader.tsx:322, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:323, .\components\community\UpgradePromptModal.tsx:127, .\app\(tabs)\search.tsx:671, .\app\(tabs)\profile.tsx:999, .\app\(tabs)\profile.tsx:1076, .\app\(tabs)\profile.tsx:1103, .\app\(tabs)\profile.tsx:1135, .\app\(tabs)\pricing.tsx:1532, .\app\_backup_pricing\pricing_stripe_backup.tsx:1077"
"#F0F0F0","1",".\components\ChatSupportModal.tsx:497"
"#F0F9FF","4",".\app\(web)\index.tsx:316, .\app\(web)\index.tsx:593, .\app\(tabs)\pricing.tsx:1698, .\app\_backup_pricing\pricing_stripe_backup.tsx:1243"
"#F0FDF4","2",".\components\community\CommunityFiltersModal.tsx:257, .\app\(tabs)\search.tsx:567"
"#F1F5F9","11",".\components\leads\LeadDetailModal.tsx:547, .\components\leads\LeadDetailModal.tsx:677, .\app\(tabs)\search.tsx:727, .\app\(tabs)\profile.tsx:936, .\app\(tabs)\profile.tsx:974, .\app\(tabs)\pricing.tsx:1590, .\app\(tabs)\leads.tsx:1164, .\app\(tabs)\leads.tsx:1361, .\app\(tabs)\leads.tsx:1375, .\app\(tabs)\leads.tsx:1417, .\app\_backup_pricing\pricing_stripe_backup.tsx:1135"
"#F3F4F6","10",".\components\web\WebHeader.tsx:408, .\components\community\CitySearchModal.tsx:274, .\components\community\CitySearchModal.tsx:314, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:292, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:345, .\components\community\QuickPostBar.web.tsx:708, .\components\community\PostCard.tsx:952, .\components\community\PostCard.tsx:1095, .\components\community\PostCard.tsx:1110, .\components\community\PostCard.tsx:1194"
"#F59E0B","23",".\lib\theme.tsx:88, .\components\community\CommunityFeed.tsx:326, .\components\community\CommunityFeed.web.tsx:329, .\components\community\PostCard.tsx:636, .\components\community\PostCard.tsx:637, .\components\community\PostCard.tsx:1123, .\components\community\PostCard.tsx:1127, .\components\leads\LeadDetailModal.tsx:619, .\components\leads\LeadDetailModal.tsx:623, .\app\(tabs)\search.tsx:327, .\app\(tabs)\search.tsx:340, .\app\(tabs)\search.tsx:385, .\app\(tabs)\leads.tsx:639, .\app\(tabs)\leads.tsx:698, .\app\(tabs)\leads.tsx:699, .\app\(tabs)\leads.tsx:786, .\app\(tabs)\index.tsx:76, .\app\(tabs)\index.tsx:226, .\app\(tabs)\index.tsx:236, .\app\_backup_pricing\pricing_revenuecat.tsx:158, .\app\_backup_pricing\pricing_revenuecat.tsx:284, .\app\_backup_pricing\pricing_revenuecat.tsx:285, .\app\_backup_pricing\pricing_revenuecat.tsx:462"
"#F5F5F5","3",".\components\ChatSupportModal.tsx:412, .\components\ChatSupportModal.tsx:540, .\components\ChatSupportModal.tsx:550"
"#F87171","1",".\lib\theme.tsx:148"
"#F8F9FA","1",".\app\_backup_pricing\pricing_revenuecat.tsx:328"
"#F8FAFC","34",".\components\web\WebHeader.tsx:283, .\components\web\WebHeader.tsx:317, .\app\(web)\features.tsx:255, .\app\(web)\features.tsx:296, .\app\(web)\features.tsx:325, .\app\(web)\features.tsx:416, .\app\(web)\contact.tsx:375, .\app\(web)\contact.tsx:428, .\app\(web)\contact.tsx:477, .\app\(web)\contact.tsx:515, .\app\(web)\about.tsx:429, .\app\(web)\about.tsx:453, .\app\(web)\about.tsx:538, .\app\(web)\about.tsx:564, .\app\(web)\pricing_web.tsx:285, .\app\(web)\pricing.tsx:282, .\app\(auth)\register.tsx:222, .\app\(auth)\login.tsx:279, .\components\leads\LeadDetailModal.tsx:460, .\components\leads\LeadDetailModal.tsx:591, .\components\leads\LeadDetailModal.tsx:659, .\app\(tabs)\community.tsx:17, .\app\(tabs)\search.tsx:531, .\app\(tabs)\search.tsx:582, .\app\(tabs)\search.tsx:755, .\app\(tabs)\profile.tsx:909, .\app\(tabs)\profile.tsx:1158, .\app\(tabs)\pricing.tsx:1391, .\app\(tabs)\leads.tsx:1096, .\app\(tabs)\leads.tsx:1180, .\app\(tabs)\leads.tsx:1322, .\app\(tabs)\leads.tsx:1404, .\app\(tabs)\index.tsx:175, .\app\_backup_pricing\pricing_stripe_backup.tsx:936"
"#F9FAFB","12",".\lib\theme.tsx:80, .\lib\theme.tsx:145, .\components\web\WebFooter.tsx:70, .\components\community\CitySearchModal.tsx:299, .\components\community\CommunityFeed.tsx:612, .\components\community\CommunityFeed.web.tsx:615, .\components\community\UpgradePromptModal.tsx:164, .\components\community\TemplateSelector.tsx:94, .\components\community\PostCard.tsx:1000, .\components\community\PostCard.tsx:1080, .\components\community\CommunityFiltersModal.tsx:190, .\app\(tabs)\leads.tsx:1269"
"#FAF5FF","1",".\app\(web)\features.tsx:398"
"#FBBF24","2",".\lib\theme.tsx:150, .\components\community\UpgradePromptModal.tsx:44"
"#FCA5A5","1",".\app\(tabs)\search.tsx:790"
"#FDE68A","1",".\components\community\UpgradePromptModal.tsx:137"
"#FECACA","2",".\components\community\PostCard.tsx:967, .\components\community\PostCard.tsx:1025"
"#FEE2E2","10",".\components\DeleteAccountModal.tsx:287, .\components\community\CommunityFeed.tsx:675, .\components\community\CommunityFeed.web.tsx:678, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:376, .\components\community\PostCard.tsx:962, .\components\community\PostCard.tsx:1022, .\components\community\CommunityFiltersModal.tsx:230, .\app\(tabs)\search.tsx:658, .\app\(tabs)\search.tsx:785, .\app\(tabs)\profile.tsx:1184"
"#FEF2F2","1",".\app\(tabs)\profile.tsx:1185"
"#FEF3C7","1",".\app\(tabs)\search.tsx:622"
"#FEF3F2","1",".\app\(web)\index.tsx:722"
"#FF6B35","16",".\app\(web)\index.tsx:127, .\app\(web)\index.tsx:128, .\app\(web)\index.tsx:129, .\app\(web)\index.tsx:130, .\app\(web)\index.tsx:131, .\app\(web)\index.tsx:438, .\app\(web)\index.tsx:446, .\app\(web)\index.tsx:649, .\app\(web)\index.tsx:652, .\app\(web)\index.tsx:957, .\app\(web)\index.tsx:966, .\app\(web)\contact.tsx:18, .\app\(web)\about.tsx:17, .\app\(web)\pricing_web.tsx:10, .\app\(web)\pricing_web.tsx:300, .\app\(web)\pricing.tsx:20"
"#FFF7F2","1",".\app\(web)\pricing_web.tsx:298"
"#FFFFFF","113",".\lib\theme.tsx:81, .\lib\theme.tsx:82, .\lib\theme.tsx:90, .\lib\theme.tsx:152, .\components\Button.tsx:56, .\components\Button.tsx:104, .\components\Button.tsx:107, .\components\Card.tsx:15, .\components\ChatSupportModal.tsx:338, .\components\ChatSupportModal.tsx:511, .\components\ChatSupportModal.tsx:521, .\components\ChatSupportModal.tsx:572, .\components\Input.tsx:52, .\components\DeleteAccountModal.tsx:172, .\components\DeleteAccountModal.tsx:175, .\components\DeleteAccountModal.tsx:198, .\components\DeleteAccountModal.tsx:329, .\components\DeleteAccountModal.tsx:344, .\components\web\WebHeader.tsx:193, .\components\web\WebHeader.tsx:301, .\components\web\WebHeader.tsx:379, .\components\web\WebHeader.tsx:383, .\components\web\WebHeader.tsx:429, .\app\(web)\index.tsx:287, .\app\(web)\index.tsx:451, .\app\(web)\index.tsx:482, .\app\(web)\index.tsx:551, .\app\(web)\index.tsx:591, .\app\(web)\index.tsx:657, .\app\(web)\index.tsx:677, .\app\(web)\index.tsx:690, .\app\(web)\index.tsx:720, .\app\(web)\index.tsx:734, .\app\(web)\index.tsx:776, .\app\(web)\index.tsx:789, .\app\(web)\index.tsx:876, .\app\(web)\index.tsx:885, .\app\(web)\index.tsx:971, .\app\(web)\index.tsx:1003, .\app\(web)\index.tsx:1029, .\app\(web)\features.tsx:245, .\app\(web)\features.tsx:272, .\app\(web)\features.tsx:336, .\app\(web)\features.tsx:356, .\app\(web)\features.tsx:373, .\app\(web)\features.tsx:387, .\app\(web)\features.tsx:424, .\app\(web)\features.tsx:449, .\app\(web)\features.tsx:455, .\app\(web)\features.tsx:466, .\app\(web)\features.tsx:482, .\app\(web)\features.tsx:487, .\app\(web)\cookies.tsx:237, .\app\(web)\contact.tsx:344, .\app\(web)\contact.tsx:349, .\app\(web)\contact.tsx:433, .\app\(web)\contact.tsx:541, .\app\(web)\contact.tsx:570, .\app\(web)\contact.tsx:585, .\app\(web)\about.tsx:154, .\app\(web)\about.tsx:296, .\app\(web)\about.tsx:302, .\app\(web)\about.tsx:340, .\app\(web)\about.tsx:354, .\app\(web)\about.tsx:362, .\app\(web)\about.tsx:383, .\app\(web)\about.tsx:417, .\app\(web)\about.tsx:461, .\app\(web)\about.tsx:501, .\app\(web)\about.tsx:519, .\app\(web)\about.tsx:528, .\app\(web)\about.tsx:603, .\app\(web)\_layout.tsx:31, .\app\(web)\terms.tsx:250, .\app\(web)\refund.tsx:227, .\app\(web)\privacy.tsx:204, .\app\(web)\pricing_web.tsx:301, .\app\(web)\pricing_web.tsx:321, .\app\(web)\pricing_web.tsx:327, .\app\(web)\pricing_web.tsx:358, .\app\(web)\pricing_web.tsx:363, .\app\(web)\pricing_web.tsx:394, .\app\(web)\pricing_web.tsx:420, .\app\(web)\pricing_web.tsx:435, .\app\(web)\pricing_web.tsx:548, .\app\(web)\pricing_web.tsx:563, .\components\community\UpgradePromptModal.tsx:122, .\components\community\PostCard.tsx:748, .\components\community\PostCard.tsx:756, .\components\community\PostCard.tsx:764, .\components\community\PostCard.tsx:1136, .\components\community\PostCard.tsx:1160, .\components\community\PostCard.tsx:1177, .\app\(auth)\login.tsx:331, .\components\leads\LeadDetailModal.tsx:633, .\app\(tabs)\_layout.tsx:15, .\app\(tabs)\profile.tsx:512, .\app\(tabs)\profile.tsx:514, .\app\(tabs)\profile.tsx:995, .\app\(tabs)\profile.tsx:1072, .\app\(tabs)\profile.tsx:1098, .\app\(tabs)\profile.tsx:1130, .\app\(tabs)\profile.tsx:1153, .\app\(tabs)\profile.tsx:1216, .\app\(tabs)\profile.tsx:1258, .\app\(tabs)\pricing.tsx:1440, .\app\(tabs)\pricing.tsx:1603, .\app\(tabs)\pricing.tsx:1631, .\app\(tabs)\pricing.tsx:1683, .\app\_backup_pricing\pricing_stripe_backup.tsx:985, .\app\_backup_pricing\pricing_stripe_backup.tsx:1148, .\app\_backup_pricing\pricing_stripe_backup.tsx:1176, .\app\_backup_pricing\pricing_stripe_backup.tsx:1228"
